ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,account_id,escalation_flag
T-b4c569,2023-11-06,,1.0,,4.0,5.0,,
T-095fc4,2023-03-01, 2023-03-02 16:00:00    ,40.0,urgent,100.0,,,
,2024-10-12,2024-10-13 23:00:00,47.0,low,143.0,3.0,,
T-832df9,2023-02-26,2023-02-28 08:00:00,56.0,urgent,12.0,,,
T-0ceebb,,2024-09-08 07:00:00,55.0,high,104.0,5.0,,
T-e6ff26,2024-12-08,2024-12-08 20:00:00,20.0,urgent,130.0,,,
T-69f219,2024-12-16,2024-12-18 16:00:00,64.0,high,26.0,,,
T-688401,2024-03-30,2024-03-31 10:00:00,34.0,high,,3.0,,
,2023-07-28,2023-07-29 09:00:00,33.0,high,129.0,,,
T-10020f,2023-08-24,2023-08-25 04:00:00,,urgent,71.0,,,
T-a2eb91,2024-01-12,2024-01-14 10:00:00,58.0,medium,136.0,,,
T-57fa50,2023-05-25,2023-05-27 05:00:00,53.0,high,,5.0,,
T-b9b80b,2024-06-24,2024-06-26 09:00:00,57.0,urgent,49.0,3.0,,
T-dd1f11,2024-09-16,2024-09-17 10:00:00,34.0,medium,71.0,,,
T-c46a1b,2023-11-07,,31.0,medium,,5.0,,
T-7048cb,2023-03-10,2023-03-10 01:00:00,1.0,low,41.0,,,
T-65bdba,2023-08-06,2023-08-07 23:00:00,47.0,high,48.0,4.0,,
T-da9797,2024-10-01,2024-10-02 21:00:00,45.0,high,160.0,3.0,,
T-c786ff,2024-12-26,2024-12-27 15:00:00,39.0,urgent,152.0,,,
T-f39a06,2024-03-07,,70.0,medium,58.0,,,
T-5a8cb8,2024-08-19,2024-08-21 16:00:00,64.0,low,51.0,,,
T-580c71,2023-04-15,2023-04-15 09:00:00,9.0,urgent,156.0,,,
T-2A19C6,2023-12-14,2023-12-17 00:00:00,72.0,low,111.0,,,
T-836ae9,2023-12-22,2023-12-24 22:00:00,70.0,low,130.0,,,
t-895101,, 2024-04-12 05:00:00    ,5.0,urgent,19.0,,,
T-203b1e,2024-06-12,2024-06-14 00:00:00,48.0,high,92.0,4.0,,
T-6da9bc,2024-12-10,2024-12-12 12:00:00,60.0,high,49.0,4.0,,
T-0d73d3,2024-03-11,2024-03-13 11:00:00,59.0,low,143.0,,,
T-0f0bde,2024-09-24,2024-09-26 03:00:00,51.0,medium,168.0,4.0,,
T-b14d75,2023-03-08,2023-03-10 04:00:00,52.0,medium,115.0,5.0,,
T-8580fd,2023-06-09,2023-06-11 02:00:00,,urgent,149.0,,,
T-52fdaf,,2023-04-23 03:00:00,51.0,urgent,23.0,3.0,,
T-0648e6,2024-12-01,2024-12-01 12:00:00,12.0,low,113.0,4.0,,
,2023-01-25,2023-01-26 16:00:00,40.0,medium,51.0,3.0,,
T-718543,2023-01-28, 2023-01-30 17:00:00    ,65.0,urgent,46.0,3.0,,
T-a61271,2024-11-03,2024-11-05 16:00:00,64.0,urgent,3.0,,,
T-0766ec,2024-12-29,2024-12-29 05:00:00,5.0,low,100.0,3.0,,
T-738fd8,2024-03-15,2024-03-15 05:00:00,5.0,low,94.0,3.0,,
T-3b09c6,2023-11-04,2023-11-05 02:00:00,26.0,medium,93.0,,,
T-946568,2023-01-02,2023-01-03 03:00:00,27.0,medium,24.0,,,
T-1d4ad7,2024-01-04,,68.0,urgent,44.0,4.0,,
T-69Bbea,2023-03-03,2023-03-03 16:00:00,,,43.0,,,
T-b0f248,2024-11-26,2024-11-27 22:00:00,46.0,high,122.0,,,
T-676fdf,2024-10-04,2024-10-05 02:00:00,26.0,medium,122.0,,,
T-80fc65,2024-10-08,2024-10-10 13:00:00,61.0,low,116.0,,,
T-7e129c,2023-12-04,2023-12-06 20:00:00,68.0,medium,46.0,3.0,,
T-a0545c,2024-04-26,2024-04-26 06:00:00,6.0,medium,152.0,,,
T-2c4195,2024-01-08,2024-01-08 08:00:00,8.0,low,175.0,5.0,,
T-9fcefd,2023-04-17,2023-04-17 02:00:00,2.0,low,91.0,4.0,,
T-c752b7,2024-09-20,2024-09-20 13:00:00,13.0,high,145.0,5.0,,
T-7c0dc3,2023-08-08,2023-08-10 12:00:00,60.0,medium,32.0,4.0,,
 T-5cf4eb    ,2024-06-15,2024-06-15 18:00:00,18.0,high,169.0,4.0,,
T-b4957a,2024-03-06,2024-03-06 02:00:00,2.0,urgent,73.0,,,
T-4a1a56,2023-09-04,2023-09-05 05:00:00,29.0,,86.0,,,
T-07694c,2023-06-14,2023-06-14 09:00:00,9.0,high,96.0,,,
T-113483,2024-10-29,2024-10-29 22:00:00,22.0,urgent,116.0,,,
T-fc3f98,2023-07-12,2023-07-14 02:00:00,50.0,urgent,17.0,4.0,,
T-466cea,2023-11-23,2023-11-23 10:00:00,10.0,,,,,
T-8caacd,2023-08-16,2023-08-16 05:00:00,5.0,urgent,,,,
T-87f0f2,2024-02-18,2024-02-20 22:00:00,70.0,medium,164.0,3.0,,
T-5df8d7,2024-12-05,2024-12-07 01:00:00,49.0,medium,3.0,4.0,,
T-7098db,2024-12-12,2024-12-14 01:00:00,49.0,low,95.0,4.0,,
T-39076a,2024-01-22,2024-01-23 04:00:00,28.0,urgent,15.0,3.0,,
T-ddcfa7,2024-05-26,2024-05-26 06:00:00,,medium,84.0,3.0,,
T-4f2be5,2023-04-07,2023-04-08 21:00:00,45.0,medium,137.0,5.0,,
T-91aaf3,2023-04-18,2023-04-20 19:00:00,67.0,high,122.0,4.0,,
T-39b9b3,2023-03-24,2023-03-24 23:00:00,23.0,urgent,86.0,,,
T-3c3935,2023-01-29,,,urgent,15.0,3.0,,
T-7ff36c,2023-04-28,,22.0,medium,11.0,,,
T-153c4f,2024-05-14,2024-05-16 07:00:00,,high,9.0,,,
T-2b9ac2,2023-06-30,2023-07-02 20:00:00,68.0,low,163.0,5.0,,
T-59dfb0,2024-12-18,2024-12-20 11:00:00,59.0,medium,24.0,3.0,,
T-ef9608,2023-05-28,2023-05-28 17:00:00,17.0,urgent,112.0,4.0,,
T-77dffb,2023-12-18,,,medium,80.0,3.0,,
T-77064e,,2024-03-29 08:00:00,32.0,low,175.0,4.0,,
t-762eff,2023-04-24,,28.0,,46.0,3.0,,
T-584792,2023-10-15,2023-10-17 03:00:00,51.0,low,121.0,4.0,,
T-a67c6a,2024-02-18,2024-02-20 07:00:00,55.0,urgent,24.0,,,
T-0ebaee,2024-03-05,2024-03-05 02:00:00,2.0,medium,178.0,,,
T-d035ff,2024-03-13,2024-03-15 06:00:00,54.0,urgent,22.0,,,
T-9e0fbe,2023-12-12,2023-12-13 14:00:00,38.0,urgent,34.0,3.0,,
T-48a7e1,2024-06-30,2024-07-01 20:00:00,44.0,,79.0,,,
T-7dfcbc,2023-06-21,2023-06-21 20:00:00,20.0,urgent,94.0,5.0,,
T-011d44,2024-03-29,2024-03-29 13:00:00,13.0,low,159.0,4.0,,
T-371908,2024-04-13,2024-04-13 07:00:00,7.0,low,53.0,,,
T-bc73ad,2024-10-08,2024-10-09 21:00:00,45.0,low,103.0,5.0,,
T-2d7007,2024-12-13,2024-12-15 03:00:00,51.0,high,176.0,,,
T-1e7cbe,2023-07-10,2023-07-11 01:00:00,25.0,high,158.0,,,
,2023-07-26,2023-07-27 23:00:00,47.0,urgent,114.0,5.0,,
T-885cc0,2024-05-11,2024-05-11 10:00:00,10.0,high,33.0,5.0,,
T-4e6353,2024-05-13,2024-05-14 05:00:00,29.0,low,123.0,,,
T-73bcc4,2024-05-01,2024-05-02 11:00:00,35.0,medium,108.0,5.0,,
T-882ab9,2023-07-23,2023-07-24 10:00:00,34.0,high,90.0,,,
T-88c429,2024-11-03,2024-11-04 02:00:00,26.0,urgent,22.0,,,
T-70430b,2023-03-25,2023-03-26 01:00:00,25.0,low,8.0,,,
T-36a591,2023-12-09,2023-12-10 21:00:00,45.0,low,99.0,3.0,,
T-016d69,2023-03-18,2023-03-19 19:00:00,43.0,high,85.0,,,
T-2a5b67,2023-07-24,2023-07-25 13:00:00,37.0,medium,47.0,5.0,,
T-7976e4,2023-06-17,2023-06-19 22:00:00,70.0,medium,31.0,5.0,,
 T-d1973c    ,2023-03-11, 2023-03-13 07:00:00    ,55.0,low,88.0,,,
T-9dc012,2023-09-24,2023-09-24 12:00:00,12.0,high,2.0,,,
T-d2dda8,2023-07-01,2023-07-02 05:00:00,29.0,high,75.0,3.0,,
,2024-03-28,2024-03-29 18:00:00,,medium,146.0,3.0,,
,2023-01-20,2023-01-21 13:00:00,37.0,medium,,,,
T-46F3A5,2024-12-22,2024-12-22 11:00:00,11.0,low,64.0,,,
T-575B7E,2023-10-05, 2023-10-05 20:00:00    ,20.0,low,9.0,5.0,,
T-2e8ffa,2023-08-15,2023-08-15 05:00:00,5.0,medium,153.0,,,
T-e65eaf,2024-09-06,2024-09-07 19:00:00,43.0,urgent,14.0,,,
T-d23384,2023-09-03,,69.0,high,,4.0,,
T-c512cd,2024-11-07,2024-11-07 05:00:00,5.0,high,81.0,3.0,,
T-13a6c8,2023-12-27,2023-12-27 10:00:00,10.0,urgent,119.0,4.0,,
T-c53a87,2023-02-19,2023-02-20 13:00:00,37.0,high,105.0,,,
T-accc3f,2024-01-20,,36.0,urgent,55.0,4.0,,
T-4D9Add,2023-08-12,2023-08-12 18:00:00,,high,155.0,,,
T-391128,,2023-09-13 22:00:00,70.0,,92.0,,,
T-02ebc4,,2023-01-20 02:00:00,2.0,low,78.0,5.0,,
T-95e4c4,2024-02-24,2024-02-26 12:00:00,60.0,low,176.0,4.0,,
T-2859a9,2024-10-29,2024-10-31 16:00:00,64.0,urgent,59.0,3.0,,
T-80caf3,2023-02-21,2023-02-23 07:00:00,55.0,urgent,,,,
T-FC38C0,2023-01-21, 2023-01-22 12:00:00    ,36.0,low,107.0,3.0,,
T-d1454f,2024-09-12,,17.0,medium,42.0,4.0,,
T-f79198,2023-11-30,2023-12-01 01:00:00,25.0,medium,17.0,,,
T-2f8785,2023-12-26,,2.0,low,121.0,5.0,,
T-c961eb,2024-12-09,2024-12-11 02:00:00,50.0,medium,26.0,3.0,,
T-5D144C,2023-09-18,2023-09-19 00:00:00,24.0,urgent,43.0,,,
,2024-06-25,2024-06-26 21:00:00,45.0,urgent,61.0,,,
T-4616b9,2024-02-06,2024-02-08 18:00:00,66.0,high,105.0,5.0,,
T-149155,2024-01-02,2024-01-02 11:00:00,11.0,medium,17.0,,,
T-2ef7b5,2023-10-27,2023-10-27 01:00:00,1.0,high,168.0,,,
T-b8a88e,2023-03-20,2023-03-22 07:00:00,55.0,medium,175.0,4.0,,
T-e0928c,,,19.0,urgent,26.0,4.0,,
T-86e8cc,2023-07-20,2023-07-20 17:00:00,17.0,low,147.0,,,
T-1070ee,2023-10-04,2023-10-06 03:00:00,51.0,urgent,178.0,,,
T-c5474d,2023-06-06, 2023-06-08 17:00:00    ,65.0,urgent,149.0,,,
T-3c2ede,2023-08-24,2023-08-24 16:00:00,16.0,high,147.0,4.0,,
T-e18407,2024-12-21,2024-12-23 12:00:00,60.0,urgent,92.0,,,
T-804db5,2024-12-09,2024-12-11 02:00:00,50.0,high,122.0,,,
,2023-09-02,2023-09-02 11:00:00,11.0,urgent,41.0,3.0,,
T-b95195,2023-07-11,2023-07-13 21:00:00,69.0,medium,28.0,,,
T-326fb6,2023-06-28,2023-06-29 08:00:00,32.0,high,142.0,4.0,,
T-4013e1,2023-02-19,2023-02-21 22:00:00,70.0,low,,5.0,,
T-99dba7,2024-05-01,2024-05-02 20:00:00,44.0,low,126.0,4.0,,
T-cbc3ab,2023-01-20,2023-01-22 17:00:00,65.0,high,155.0,5.0,,
T-2354bb,2023-08-30,2023-08-31 23:00:00,47.0,medium,72.0,,,
T-4e07bf,2023-10-29,2023-10-29 14:00:00,14.0,urgent,123.0,3.0,,
T-c39af4,2024-10-19,2024-10-21 17:00:00,,low,,,,
T-4ebe83,2024-09-25,2024-09-26 11:00:00,35.0,low,86.0,,,
T-00F542,2024-04-18,2024-04-19 00:00:00,24.0,medium,83.0,5.0,,
 T-75271b    ,,,19.0,medium,101.0,,,
T-dfd61e,2024-01-09,2024-01-11 17:00:00,,low,91.0,4.0,,
T-a56288,2023-06-22,2023-06-22 05:00:00,5.0,high,25.0,5.0,,
T-f45502,2024-08-17,2024-08-19 16:00:00,64.0,high,120.0,5.0,,
T-3bc756,2023-04-24,2023-04-24 10:00:00,10.0,low,129.0,4.0,,
T-eb6b8e,,2024-07-10 09:00:00,9.0,high,99.0,4.0,,
T-d8ba4b,2023-11-12,2023-11-12 01:00:00,1.0,medium,17.0,5.0,,
T-01c405,2023-03-15,2023-03-16 12:00:00,36.0,medium,121.0,,,
T-e6d7c6,2024-08-13,2024-08-13 13:00:00,13.0,medium,95.0,5.0,,
T-0f7d84,2024-10-27,2024-10-29 00:00:00,,medium,81.0,,,
T-ca8cb0,2024-03-12,2024-03-13 04:00:00,28.0,low,127.0,5.0,,
T-5d7ef5,2024-02-11,2024-02-13 16:00:00,64.0,high,23.0,4.0,,
T-b1720e,2023-08-27,2023-08-27 13:00:00,13.0,high,118.0,,,
T-78fcb1,2024-01-02,2024-01-02 18:00:00,18.0,urgent,,5.0,,
T-3b9fea,2023-09-16,2023-09-16 05:00:00,5.0,low,58.0,,,
T-5df3d2,2024-04-05,2024-04-06 13:00:00,37.0,high,97.0,,,
T-8206d0,2024-09-23,2024-09-24 23:00:00,47.0,urgent,21.0,,,
T-fa1316,2024-05-18,2024-05-20 12:00:00,60.0,low,169.0,4.0,,
T-ac52cc,2024-03-19,2024-03-19 01:00:00,1.0,medium,64.0,,,
T-e8ac58,2023-01-10,2023-01-11 21:00:00,45.0,medium,21.0,5.0,,
T-cddf95,2024-01-09,2024-01-11 22:00:00,70.0,medium,,3.0,,
T-f0aca7,2024-04-22,2024-04-24 14:00:00,62.0,urgent,74.0,3.0,,
T-c6ee94,2024-11-25,2024-11-25 18:00:00,18.0,high,127.0,,,
,2023-06-10,2023-06-12 02:00:00,50.0,high,144.0,,,
T-b04488,,,14.0,urgent,80.0,5.0,,
,2024-06-14,2024-06-16 09:00:00,,high,49.0,,,
T-49f7fa,2024-04-20,2024-04-20 18:00:00,18.0,high,139.0,,,
T-6676f9,2024-03-05,2024-03-07 05:00:00,53.0,high,40.0,3.0,,
T-820846,2024-07-30,2024-07-30 10:00:00,10.0,medium,44.0,,,
T-d66f0f,2023-12-03,2023-12-05 04:00:00,52.0,medium,15.0,5.0,,
T-4486bf,2024-11-11,2024-11-12 23:00:00,47.0,urgent,,,,
 T-b51da1    ,2023-08-03,2023-08-05 18:00:00,66.0,low,104.0,,,
T-e34acc,2023-08-24,2023-08-25 03:00:00,27.0,low,30.0,3.0,,
T-8d5902,2023-07-01,2023-07-02 15:00:00,39.0,medium,58.0,5.0,,
T-7d878f,2024-07-19,2024-07-21 19:00:00,67.0,medium,18.0,3.0,,
t-508c6e,2024-06-01,,23.0,medium,176.0,3.0,,
T-233db8,2023-10-03,2023-10-04 10:00:00,34.0,low,133.0,3.0,,
 T-e112be    ,2023-11-03,2023-11-04 16:00:00,40.0,urgent,74.0,4.0,,
T-d6e90f,,2024-03-24 21:00:00,69.0,urgent,142.0,,,
T-f97a8b,2024-09-11,2024-09-11 22:00:00,,,100.0,5.0,,
T-ED09AB,2024-12-27,,25.0,high,130.0,,,
T-2537ea,2023-04-15,2023-04-16 16:00:00,40.0,high,71.0,,,
T-17884a,2023-08-07,2023-08-08 10:00:00,34.0,medium,38.0,3.0,,
t-2d3ea5,2024-08-27, 2024-08-28 02:00:00    ,26.0,urgent,124.0,,,
T-4d29dc,,2023-01-05 01:00:00,25.0,urgent,147.0,,,
T-273811,2023-06-23,2023-06-25 01:00:00,49.0,low,85.0,,,
T-CE9E96,2024-04-25,2024-04-25 22:00:00,22.0,high,22.0,5.0,,
,2023-10-08,,34.0,urgent,169.0,3.0,,
T-2e98ad,2023-09-14,2023-09-16 06:00:00,54.0,medium,90.0,5.0,,
T-d6da92,2024-11-30,2024-11-30 07:00:00,7.0,urgent,,5.0,,
T-7b5fdd,2023-06-28,2023-06-28 04:00:00,4.0,low,56.0,5.0,,
T-629f53,2023-12-29,2023-12-29 19:00:00,19.0,low,,,,
T-f367ef,2023-10-12,2023-10-14 15:00:00,63.0,low,,,,
T-2b2a49,2024-06-04,2024-06-05 04:00:00,,medium,174.0,,,
T-e6e80e,2023-06-23,,21.0,urgent,21.0,,,
T-df5e8e,2023-06-22,2023-06-23 15:00:00,39.0,high,40.0,3.0,,
T-bf2cc6,2023-05-12,2023-05-13 08:00:00,32.0,high,162.0,3.0,,
T-b43b6a,2024-08-09,,9.0,urgent,10.0,,,
T-d553b7,2023-08-06,2023-08-07 01:00:00,25.0,low,5.0,4.0,,
T-0313d4,2024-11-04,2024-11-06 04:00:00,52.0,,173.0,,,
T-8d4cd3,2023-07-13,2023-07-15 20:00:00,68.0,high,169.0,,,
T-67350b,2024-08-19,2024-08-19 18:00:00,18.0,low,19.0,,,
T-81c410,2023-12-07,2023-12-09 08:00:00,56.0,urgent,138.0,,,
T-e6e1ba,2023-05-28,2023-05-29 17:00:00,41.0,medium,146.0,,,
T-91edfc,2024-03-30,2024-04-01 09:00:00,57.0,medium,68.0,,,
T-51cf8c,2023-05-25,2023-05-25 07:00:00,7.0,medium,123.0,5.0,,
T-ea95ef,,2023-02-08 08:00:00,32.0,,147.0,4.0,,
T-10ac61,2024-05-02,2024-05-02 02:00:00,2.0,urgent,171.0,5.0,,
T-902d96,2024-12-27,,59.0,high,147.0,4.0,,
T-317894,2024-04-20,2024-04-20 01:00:00,1.0,high,135.0,3.0,,
,2023-06-22,2023-06-22 13:00:00,,high,162.0,5.0,,
,2023-05-23,2023-05-24 08:00:00,32.0,urgent,63.0,,,
T-21a62a,2024-09-20,2024-09-20 09:00:00,9.0,,104.0,5.0,,
T-435417,2024-02-02,2024-02-02 06:00:00,6.0,urgent,44.0,5.0,,
T-f0ad1e,2023-07-14,2023-07-14 15:00:00,15.0,low,164.0,5.0,,
T-9a49dd,2023-05-08,2023-05-09 18:00:00,42.0,high,65.0,4.0,,
,2023-10-14,2023-10-15 11:00:00,35.0,high,169.0,,,
T-437e48,2024-10-30,2024-10-31 01:00:00,25.0,,161.0,5.0,,
T-1948cd,2023-11-10,2023-11-12 03:00:00,51.0,medium,28.0,,,
T-b9ca29,,,64.0,low,37.0,4.0,,
T-f9f1f5,2023-04-21,2023-04-23 03:00:00,51.0,high,109.0,4.0,,
T-437b2d,2023-11-06,2023-11-07 09:00:00,33.0,high,12.0,3.0,,
T-12A7D7,2023-08-02,2023-08-02 02:00:00,2.0,low,59.0,3.0,,
T-99ec8e,2024-11-14,2024-11-16 15:00:00,63.0,low,129.0,3.0,,
T-cb95ef,2023-02-16,,58.0,low,74.0,3.0,,
T-27d929,2023-11-10,2023-11-12 11:00:00,59.0,urgent,26.0,,,
T-6faf48,,2024-04-21 03:00:00,3.0,high,82.0,5.0,,
T-7B5E96,2024-09-29,2024-09-29 23:00:00,23.0,high,,4.0,,
T-cc3d2a,2024-01-31,,7.0,medium,104.0,,,
T-99abf9,2023-07-31,2023-07-31 01:00:00,1.0,high,135.0,3.0,,
T-9eecab,2023-07-17,2023-07-18 03:00:00,27.0,high,122.0,,,
T-276a05,2023-10-17,2023-10-19 14:00:00,62.0,high,144.0,3.0,,
T-1e080e,2024-08-04,2024-08-04 15:00:00,15.0,urgent,66.0,5.0,,
T-da9234,2024-04-20,2024-04-21 11:00:00,,medium,112.0,5.0,,
T-a6cf94,2024-10-18,2024-10-19 08:00:00,32.0,medium,160.0,,,
T-78ed7c,2024-08-13,2024-08-15 22:00:00,70.0,high,31.0,4.0,,
T-82F258,2023-03-19,,66.0,medium,79.0,3.0,,
T-256979,2023-04-02,2023-04-02 09:00:00,9.0,low,96.0,,,
,2024-06-27,,70.0,medium,131.0,5.0,,
T-544625,2023-09-23,2023-09-26 00:00:00,72.0,low,105.0,4.0,,
T-298948,2024-02-06,2024-02-08 05:00:00,53.0,urgent,105.0,4.0,,
T-21611f,2023-01-27,2023-01-28 05:00:00,29.0,low,19.0,3.0,,
T-24643b,2024-02-21,2024-02-21 02:00:00,2.0,low,,3.0,,
T-2708ab,2023-11-07,2023-11-07 08:00:00,8.0,,42.0,4.0,,
T-5e7096,2023-10-18,,47.0,low,35.0,,,
T-7ba83f,2023-02-01,2023-02-02 23:00:00,47.0,high,47.0,4.0,,
T-e14078,2023-04-27,2023-04-27 02:00:00,2.0,urgent,16.0,,,
T-f2e96f,2023-04-24,2023-04-24 17:00:00,17.0,urgent,130.0,,,
,2024-08-09,2024-08-11 14:00:00,62.0,medium,132.0,,,
T-dca519,2024-09-14,2024-09-14 07:00:00,7.0,urgent,47.0,,,
T-b9e44a,2023-06-10,2023-06-12 14:00:00,62.0,medium,13.0,,,
T-17E8E9,2023-09-03,,33.0,high,63.0,5.0,,
T-82ae01,2023-06-03,2023-06-03 06:00:00,6.0,medium,,4.0,,
T-e51e43,2023-04-30,2023-04-30 13:00:00,13.0,,41.0,5.0,,
T-45e6da,2024-03-08,2024-03-09 09:00:00,33.0,low,120.0,3.0,,
T-b5aa6f,2023-02-14,2023-02-15 20:00:00,44.0,low,85.0,4.0,,
T-93a37f,2023-08-08,2023-08-08 09:00:00,9.0,high,74.0,,,
T-6E76A6,2023-09-17,2023-09-18 13:00:00,37.0,urgent,141.0,,,
T-09dd85,2023-02-06,2023-02-06 14:00:00,14.0,low,12.0,3.0,,
,2024-06-25,2024-06-27 06:00:00,54.0,low,61.0,5.0,,
 T-d5ea25    ,2024-10-14,2024-10-16 11:00:00,59.0,low,56.0,5.0,,
T-a4d85c,2023-04-03,2023-04-05 08:00:00,56.0,medium,,,,
T-db00f6,2024-08-13,2024-08-14 08:00:00,32.0,urgent,101.0,3.0,,
T-6c817f,2023-08-01,2023-08-03 23:00:00,71.0,,69.0,,,
T-1bcdb6,2024-06-28,2024-06-28 03:00:00,3.0,medium,12.0,4.0,,
T-c475b2,2024-10-29,2024-10-29 23:00:00,23.0,high,76.0,4.0,,
T-a3df20,2024-03-09,2024-03-11 20:00:00,68.0,high,118.0,,,
T-7214d0,2024-09-06,2024-09-06 13:00:00,13.0,urgent,42.0,5.0,,
T-4cc9eb,2024-12-29,2024-12-31 19:00:00,67.0,low,46.0,5.0,,
T-c1ca2b,2023-06-18,2023-06-19 09:00:00,33.0,low,150.0,5.0,,
T-9f48ae,2024-01-22,2024-01-22 19:00:00,19.0,medium,87.0,,,
T-63aaba,2023-09-07,2023-09-08 16:00:00,40.0,medium,21.0,,,
T-bb3cde,2023-06-09,2023-06-11 02:00:00,50.0,urgent,128.0,4.0,,
T-4336b6,2024-06-22,2024-06-24 09:00:00,57.0,,19.0,,,
T-c30ac0,2024-05-06,2024-05-08 09:00:00,57.0,medium,,4.0,,
T-a80aac,2023-06-18,2023-06-19 11:00:00,35.0,medium,12.0,,,
T-37c256,2024-01-11,,65.0,low,,,,
T-334013,2023-07-17,2023-07-19 17:00:00,65.0,medium,96.0,4.0,,
T-970159,,2024-02-10 22:00:00,46.0,urgent,95.0,,,
T-ded4a8,2024-05-03,2024-05-05 00:00:00,48.0,urgent,35.0,,,
T-9f7253,2023-06-23,2023-06-23 17:00:00,17.0,urgent,144.0,4.0,,
t-0a9b1f,2023-01-27, 2023-01-27 19:00:00    ,19.0,medium,166.0,,,
T-fa88e4,2024-03-14,2024-03-14 08:00:00,8.0,high,122.0,5.0,,
T-665175,2024-12-01,2024-12-01 21:00:00,21.0,urgent,13.0,3.0,,
,2024-05-22,2024-05-22 18:00:00,18.0,high,51.0,4.0,,
T-7bc25b,2023-08-10,2023-08-10 21:00:00,21.0,medium,7.0,4.0,,
T-df171c,2024-02-24,,29.0,high,72.0,4.0,,
T-ed6cdf,2023-06-02,2023-06-05 00:00:00,72.0,medium,100.0,,,
,,2024-06-05 05:00:00,53.0,urgent,150.0,5.0,,
,2024-09-30,2024-09-30 22:00:00,22.0,urgent,34.0,,,
T-bc2607,2024-08-06,2024-08-08 17:00:00,65.0,high,155.0,5.0,,
T-df9fc9,2023-03-24,2023-03-26 16:00:00,64.0,urgent,90.0,4.0,,
T-f9ca4b,2023-06-03,2023-06-03 21:00:00,21.0,low,180.0,5.0,,
T-8d4c7f,2023-10-31,2023-11-02 07:00:00,55.0,urgent,68.0,,,
T-A9Fa22,2023-05-04,2023-05-06 22:00:00,70.0,low,81.0,,,
T-216c7c,2024-06-27,2024-06-28 02:00:00,26.0,low,71.0,5.0,,
T-650a6d,,2023-04-12 18:00:00,66.0,high,26.0,5.0,,
T-b01917,2023-12-24,2023-12-26 16:00:00,64.0,high,135.0,,,
T-b154de,2023-04-16,2023-04-18 23:00:00,71.0,,57.0,,,
T-8ece2f,2024-09-09,2024-09-09 03:00:00,3.0,urgent,102.0,5.0,,
T-e12097,2024-08-03,2024-08-04 02:00:00,26.0,urgent,29.0,5.0,,
T-9e1726,2023-07-25,2023-07-25 19:00:00,19.0,urgent,26.0,,,
T-e45d87,2024-07-08,2024-07-09 04:00:00,28.0,low,139.0,5.0,,
,2023-06-05,2023-06-06 18:00:00,42.0,low,69.0,4.0,,
T-4fd4ae,2023-10-19,2023-10-21 06:00:00,54.0,low,110.0,,,
T-10a089,2024-04-22,2024-04-24 08:00:00,56.0,high,,,,
T-73db23,2023-01-26,2023-01-27 05:00:00,29.0,urgent,146.0,,,
T-ebb149,2024-09-14,,40.0,high,154.0,5.0,,
T-6b1dfe,2024-04-14,2024-04-14 04:00:00,4.0,high,87.0,4.0,,
T-418d3f,2023-06-29,2023-06-29 16:00:00,16.0,,84.0,4.0,,
T-22724b,2024-08-17,2024-08-19 13:00:00,61.0,high,145.0,3.0,,
 T-57b938    ,2023-07-22,2023-07-24 17:00:00,65.0,high,145.0,,,
T-9ce175,2024-03-05,2024-03-05 11:00:00,11.0,medium,164.0,,,
T-1173d2,2024-12-14,2024-12-15 20:00:00,44.0,high,88.0,3.0,,
T-fbc3c3,2023-03-17,2023-03-18 15:00:00,39.0,urgent,51.0,,,
,2024-12-24,2024-12-24 17:00:00,,urgent,,,,
T-8cb85f,2023-05-07,2023-05-07 10:00:00,10.0,,34.0,4.0,,
T-2b566c,2024-09-08,2024-09-10 22:00:00,70.0,medium,167.0,,,
T-f93d8a,2023-12-23,2023-12-23 08:00:00,8.0,medium,41.0,,,
T-1374F5,2024-10-18,,26.0,medium,59.0,4.0,,
,2023-03-22,2023-03-24 05:00:00,53.0,urgent,169.0,,,
T-67bfa4,2024-04-23,2024-04-24 13:00:00,37.0,urgent,75.0,4.0,,
T-9f2d91,2024-09-20,2024-09-20 18:00:00,,,110.0,,,
T-320686,2023-03-10,2023-03-10 08:00:00,,high,170.0,5.0,,
T-a838f4,2024-05-22,2024-05-24 21:00:00,69.0,medium,159.0,4.0,,
T-d9f5fb,2024-06-28,2024-06-30 15:00:00,63.0,urgent,86.0,4.0,,
T-4DC68C,,,14.0,low,174.0,,,
T-5ef304,2024-01-18,2024-01-19 20:00:00,,low,139.0,4.0,,
T-cfec7f,2023-08-22,2023-08-22 21:00:00,21.0,medium,75.0,4.0,,
T-9b3a8d,2024-04-21,2024-04-21 21:00:00,21.0,urgent,90.0,4.0,,
T-706e49,2024-03-16,2024-03-18 10:00:00,58.0,low,124.0,,,
T-a9e396,2023-03-28,2023-03-30 06:00:00,54.0,low,124.0,,,
T-9df65f,2024-06-29,2024-06-30 12:00:00,36.0,urgent,8.0,,,
T-0e9c68,2023-10-31,2023-11-01 21:00:00,45.0,urgent,125.0,,,
T-ff4462,2024-07-23,2024-07-23 03:00:00,3.0,high,140.0,,,
T-e8df78,,2024-12-01 03:00:00,3.0,,52.0,3.0,,
,2023-12-14,2023-12-14 06:00:00,6.0,,174.0,,,
