gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,customer_id
Male,73.0,UK,New York,SME,5.0,,Quarterly,40.0,1.0,20.25754199676221,6.0,0.26,0.0,100.0,500.0,Card,,No,No,4.0,30.321499925916413,,3.0,0.0,,0.16,71.0,Satisfied,0.0,0.0,CUST_00831
Male,61.0,Germany,,SME,47.0,Mobile,Quarterly,,3.0,16.84551635072964,2.0,-0.04,41.0,30.0,1410.0,PayPal,1.0,Yes,Yes,1.0,,Billing,3.0,0.0,0.43,0.23,-93.0,,,0.0,CUST_00832
Male,42.0,Australia,New York,SME,14.0,Mobile,Monthly,24.0,0.0,19.649649985779355,4.0,,24.0,10.0,140.0,PayPal,0.0,No,No,2.0,24.283673822993865,Billing,3.0,1.0,,0.39,79.0,Neutral,0.0,0.0,CUST_00833
Female,,Bangladesh,New York,SME,51.0,Mobile,Yearly,5.0,7.0,15.441755436561037,5.0,0.12,10.0,,1020.0,Card,1.0,No,Yes,1.0,8.93680813834465,Technical,3.0,0.0,0.34,,,Satisfied,0.0,0.0,CUST_00834
,30.0,India,London,Individual,15.0,Web,Quarterly,11.0,,4.180581698097162,4.0,0.09,5.0,70.0,1050.0,Card,0.0,No,No,1.0,24.064632570134076,,4.0,0.0,0.2,0.06,37.0,Satisfied,1.0,0.0,CUST_00835
Female,21.0,,London,SME,12.0,Web,Monthly,13.0,0.0,25.480379361973117,3.0,-0.17,14.0,10.0,120.0,PayPal,0.0,,Yes,1.0,23.265256569569967,Technical,3.0,2.0,0.65,0.31,-13.0,Unsatisfied,1.0,0.0,CUST_00836
Male,63.0,Australia,Delhi,SME,50.0,Referral,Quarterly,14.0,,25.023080941615817,7.0,-0.01,17.0,20.0,1000.0,Card,0.0,,Yes,1.0,2.96229872334343,,3.0,0.0,,0.48,25.0,Unsatisfied,2.0,0.0,CUST_00837
Male,31.0,Bangladesh,London,Enterprise,46.0,Web,Monthly,30.0,2.0,19.36286748094456,5.0,-0.01,1.0,50.0,2300.0,Bank Transfer,0.0,No,,2.0,24.991002003836883,Service,3.0,1.0,0.41,0.29,3.0,Unsatisfied,0.0,0.0,CUST_00838
Female,30.0,India,New York,SME,42.0,Web,Yearly,14.0,6.0,6.373967423235353,,0.22,20.0,20.0,840.0,Card,2.0,,,1.0,26.481273160021264,Billing,4.0,0.0,0.28,0.48,32.0,Neutral,1.0,0.0,CUST_00839
Male,,UK,Sydney,,8.0,Referral,Monthly,26.0,,4.683354895036652,5.0,0.09,1.0,30.0,240.0,Card,1.0,No,,0.0,1.0,Service,4.0,0.0,0.76,0.1,78.0,Neutral,1.0,0.0,CUST_00840
Male,23.0,Australia,London,Individual,59.0,Mobile,Monthly,12.0,2.0,9.853017868929689,6.0,0.28,5.0,20.0,1180.0,Bank Transfer,0.0,,No,1.0,32.71625689130404,Billing,3.0,1.0,0.69,0.06,-22.0,Unsatisfied,1.0,0.0,CUST_00841
Female,34.0,Germany,London,SME,55.0,Web,Monthly,17.0,3.0,30.05999536181292,10.0,,2.0,10.0,550.0,PayPal,0.0,,No,,21.024755841485103,,,1.0,0.61,0.06,25.0,Neutral,0.0,0.0,CUST_00842
Male,53.0,Canada,New York,Enterprise,31.0,Web,Yearly,0.0,7.0,17.612520769846004,6.0,0.01,,20.0,620.0,PayPal,2.0,No,No,2.0,31.29137908969627,Technical,4.0,1.0,0.26,0.12,19.0,Unsatisfied,0.0,,CUST_00843
Male,57.0,Germany,Berlin,SME,26.0,Referral,Monthly,19.0,7.0,15.146174540869511,6.0,0.01,26.0,10.0,260.0,Card,0.0,,No,0.0,24.741842121455125,Service,,0.0,0.82,0.29,-27.0,Neutral,4.0,0.0,CUST_00844
Male,66.0,UK,Berlin,SME,29.0,Referral,,19.0,3.0,15.881169056688478,7.0,0.09,,70.0,2030.0,Card,0.0,No,No,2.0,44.8732726571648,Service,5.0,0.0,0.68,0.36,86.0,Satisfied,0.0,0.0,CUST_00845
Male,52.0,Bangladesh,Toronto,Individual,,Web,Monthly,18.0,6.0,12.281876953400127,8.0,0.43,17.0,10.0,40.0,Bank Transfer,,,No,1.0,23.659060957593653,,4.0,0.0,0.88,0.17,20.0,Satisfied,1.0,,CUST_00846
Female,34.0,USA,Delhi,SME,50.0,,Monthly,39.0,7.0,14.582360076567085,2.0,0.04,7.0,30.0,1500.0,PayPal,0.0,No,No,1.0,30.00976237570253,Service,5.0,0.0,0.31,0.22,27.0,Satisfied,2.0,0.0,CUST_00847
Female,58.0,Australia,Berlin,SME,28.0,Web,Monthly,19.0,0.0,15.669528015008474,,-0.11,16.0,100.0,2800.0,Card,1.0,No,No,1.0,30.43739327182109,Service,3.0,,0.28,0.07,-24.0,Satisfied,1.0,0.0,CUST_00848
Male,19.0,Bangladesh,London,SME,25.0,Referral,,0.0,5.0,10.966570369970134,8.0,0.07,23.0,70.0,1750.0,Card,1.0,No,No,1.0,8.154893252006726,Billing,3.0,,0.23,0.46,28.0,Neutral,2.0,0.0,CUST_00849
Female,74.0,USA,Sydney,Individual,40.0,Web,Monthly,7.0,4.0,6.521897853329724,8.0,-0.08,5.0,10.0,400.0,Bank Transfer,0.0,No,No,2.0,20.46000956800996,Billing,5.0,,0.11,0.12,49.0,Satisfied,2.0,1.0,CUST_00850
Male,30.0,UK,Toronto,SME,32.0,,Quarterly,19.0,3.0,,10.0,-0.06,,,1600.0,Card,2.0,No,Yes,0.0,9.264752103434972,,5.0,0.0,0.25,0.41,-30.0,Satisfied,,0.0,CUST_00851
FEMALE,69.0,,DELHI,Individual,36.0,Mobile,monthly,19.0,3.0,9.623547299171053,3.0,0.05,2.0,20.0,720.0,card,1.0,No,Yes,3.0,14.88872860716504,,4.0,1.0,0.75,0.14,25.0,,2.0,0.0,CUST_00852
Male,19.0,India,Sydney,SME,11.0,Mobile,Quarterly,11.0,2.0,22.568298653921765,9.0,0.29,22.0,10.0,,,0.0,No,No,1.0,30.34863774728406,Billing,4.0,0.0,0.73,0.34,66.0,Satisfied,1.0,0.0,CUST_00853
Male,69.0,India,Sydney,Individual,37.0,Referral,Monthly,9.0,2.0,18.441455539627327,6.0,-0.02,13.0,50.0,1850.0,Card,1.0,No,No,1.0,40.5871491337516,Service,3.0,1.0,0.1,0.04,-20.0,Satisfied,1.0,0.0,CUST_00854
Male,45.0,Bangladesh,London,SME,10.0,Web,Quarterly,33.0,5.0,14.261815965907084,7.0,0.07,6.0,70.0,700.0,Card,0.0,No,No,1.0,32.58175810785403,Service,2.0,0.0,0.21,0.48,22.0,Neutral,3.0,0.0,CUST_00855
Male,60.0,Germany,New York,Individual,38.0,Referral,Monthly,29.0,2.0,,4.0,0.02,4.0,10.0,380.0,Card,0.0,No,Yes,2.0,18.54438533917137,Technical,2.0,0.0,0.73,0.29,53.0,Satisfied,1.0,1.0,CUST_00856
Male,43.0,Bangladesh,New York,Individual,36.0,Web,Monthly,31.0,4.0,19.769561710490255,4.0,0.12,1.0,10.0,360.0,PayPal,0.0,No,No,2.0,21.483560883486877,,3.0,0.0,0.53,0.23,-21.0,Neutral,2.0,0.0,CUST_00857
Male,39.0,Germany,New York,SME,50.0,Web,Monthly,13.0,2.0,,4.0,-0.32,2.0,20.0,1000.0,Card,1.0,No,No,1.0,23.190505892563625,Technical,,0.0,0.53,0.06,28.0,Neutral,2.0,1.0,CUST_00858
Female,64.0,UK,Berlin,Individual,53.0,,Monthly,27.0,2.0,11.804491881414323,,-0.02,3.0,10.0,530.0,Card,1.0,Yes,,1.0,17.663957062617264,Technical,4.0,1.0,0.46,0.33,-43.0,Neutral,1.0,0.0,CUST_00859
Male,60.0,India,New York,SME,27.0,Web,Monthly,,5.0,17.500884459488415,6.0,0.0,21.0,10.0,270.0,,0.0,No,No,,37.262979373048886,Technical,4.0,,0.45,0.15,9.0,Satisfied,2.0,0.0,CUST_00860
Female,72.0,Australia,Delhi,Enterprise,17.0,Web,Quarterly,15.0,7.0,,3.0,0.06,11.0,20.0,340.0,Card,1.0,No,No,1.0,9.906198219941396,,4.0,1.0,0.29,0.07,-2.0,Neutral,1.0,0.0,CUST_00861
male,20.0,India,LONDON,Enterprise,7.0,Referral,quarterly,14.0,,16.151471816454396,8.0,0.14,2.0,10.0,70.0,Paypal,2.0,No,Yes,0.0,40.32933917032108,,4.0,0.0,0.85,,, Satisfied    ,1.0,0.0,CUST_00862
Female,52.0,Germany,Berlin,Individual,9.0,Mobile,Monthly,17.0,7.0,9.274587526415338,6.0,0.23,4.0,10.0,90.0,Card,0.0,Yes,,1.0,27.299671839936423,,2.0,0.0,0.86,0.03,-25.0,Neutral,0.0,1.0,CUST_00863
Female,29.0,Bangladesh,Delhi,SME,35.0,Referral,Monthly,21.0,4.0,11.576284366711825,6.0,0.04,2.0,30.0,1050.0,Card,1.0,No,No,,22.40976097229498,Billing,4.0,2.0,0.12,0.24,-50.0,Neutral,4.0,0.0,CUST_00864
Female,41.0,,New York,Individual,54.0,Mobile,Quarterly,18.0,7.0,21.042450662754312,,0.25,3.0,20.0,1080.0,Card,0.0,Yes,No,0.0,26.87413861702737,Billing,5.0,0.0,0.66,0.17,36.0,Satisfied,0.0,0.0,CUST_00865
Male,22.0,India,Delhi,Enterprise,9.0,Web,Yearly,8.0,2.0,23.269828488320016,5.0,0.14,1.0,50.0,450.0,Card,0.0,No,No,1.0,22.854705099750987,Billing,3.0,0.0,0.42,0.13,-1.0,Satisfied,0.0,0.0,CUST_00866
Male,37.0,UK,Sydney,SME,59.0,Web,Monthly,12.0,7.0,,2.0,0.19,17.0,50.0,2950.0,Card,1.0,No,Yes,2.0,21.19177791306016,,2.0,1.0,0.37,0.42,43.0,Unsatisfied,3.0,0.0,CUST_00867
Female,56.0,India,London,Individual,36.0,Referral,Monthly,25.0,0.0,13.922910766600186,6.0,0.08,,30.0,1080.0,,0.0,No,No,2.0,29.3905025948096,Technical,4.0,1.0,0.23,0.02,72.0,Neutral,3.0,,CUST_00868
Male,56.0,Bangladesh,London,Individual,54.0,Web,Monthly,23.0,6.0,19.74395261290658,4.0,0.07,5.0,,3780.0,Card,1.0,No,Yes,1.0,18.123271625196324,,2.0,0.0,0.5,0.27,44.0,Neutral,1.0,0.0,CUST_00869
Female,30.0,USA,Delhi,Individual,30.0,Web,,35.0,0.0,7.696388464227776,6.0,0.23,3.0,10.0,300.0,Bank Transfer,0.0,No,No,3.0,23.93652939668477,Technical,4.0,1.0,0.1,0.26,,Unsatisfied,0.0,0.0,CUST_00870
Male,58.0,Bangladesh,,SME,31.0,Web,Monthly,23.0,,12.221081328486065,1.0,0.09,5.0,10.0,310.0,,0.0,Yes,No,3.0,16.71297781900531,,,,0.23,0.35,21.0,Neutral,0.0,0.0,CUST_00871
Female,74.0,India,London,Individual,19.0,Web,Yearly,34.0,1.0,18.822248070817416,7.0,0.1,22.0,30.0,570.0,Card,0.0,No,No,2.0,,Technical,5.0,0.0,0.26,0.33,63.0,Satisfied,1.0,,CUST_00872
Female,70.0,Germany,Sydney,SME,41.0,Mobile,Monthly,5.0,0.0,11.227579015517076,9.0,-0.12,6.0,70.0,2870.0,Card,0.0,No,No,4.0,34.44727900067949,,1.0,,0.39,0.18,34.0,Satisfied,1.0,0.0,CUST_00873
Male,62.0,Bangladesh,London,SME,55.0,Web,Monthly,25.0,6.0,5.691024192103477,5.0,0.02,5.0,30.0,1650.0,PayPal,0.0,No,No,1.0,18.83823188029345,Technical,,0.0,0.29,0.31,16.0,Neutral,1.0,0.0,CUST_00874
Female,29.0,Australia,Toronto,Enterprise,23.0,Mobile,,27.0,4.0,12.65618404409794,2.0,-0.03,5.0,20.0,460.0,,1.0,No,Yes,3.0,16.915167883589973,Technical,3.0,0.0,0.17,0.47,24.0,Satisfied,2.0,0.0,CUST_00875
Male,30.0,Germany,London,Enterprise,20.0,Web,Monthly,24.0,2.0,13.521835201805668,4.0,0.16,1.0,10.0,200.0,Card,,No,No,0.0,25.99718726367029,Technical,4.0,0.0,0.65,0.15,16.0,,1.0,0.0,CUST_00876
Female,5.0,Germany,Dhaka,Individual,114.0,Mobile,Monthly,56.0,11.0,36.0,3.0,1.0,31.0,38.0,2822.0,Card,3.0,No,No,9.0,54.0,,8.0,2.0,1.0,1.0,188.0,Neutral,4.0,1.0,CUST_00877
FEMALE,27.0,Germany, London    ,SME,59.0,Referral,,23.0,7.0,31.482151234729564,6.0,0.12,3.0,20.0,1180.0, PayPal    ,1.0,No,No,1.0,30.476869627517225,Billing,3.0,2.0,,0.49,-25.0,Satisfied,0.0,0.0,CUST_00878
Male,50.0,UK,Toronto,SME,43.0,Mobile,,16.0,3.0,17.35225568518458,4.0,-0.01,9.0,20.0,860.0,Card,0.0,Yes,No,0.0,32.075900318221926,,3.0,3.0,0.26,,42.0,Satisfied,1.0,0.0,CUST_00879
Male,74.0,Canada,Dhaka,SME,,Web,Quarterly,25.0,5.0,15.664868558447026,4.0,-0.04,10.0,20.0,480.0,PayPal,0.0,Yes,No,0.0,34.94512754097172,Technical,2.0,0.0,0.26,0.04,49.0,Satisfied,0.0,0.0,CUST_00880
Male,57.0,Canada,Dhaka,,47.0,Web,Monthly,19.0,5.0,7.22345896564975,5.0,0.07,16.0,,1410.0,PayPal,2.0,No,Yes,3.0,24.30105273917071,Service,2.0,0.0,0.32,0.44,30.0,Neutral,3.0,0.0,CUST_00881
Female,71.0,USA,London,Individual,22.0,,Quarterly,14.0,3.0,5.225218198930374,5.0,,12.0,10.0,220.0,Card,1.0,No,Yes,0.0,16.043841234665905,Billing,4.0,1.0,0.29,0.26,26.0,Satisfied,,0.0,CUST_00882
,33.0,Germany,Delhi,Individual,6.0,Web,Quarterly,42.0,,23.132164975200663,9.0,-0.12,9.0,10.0,60.0,Card,0.0,No,No,0.0,23.36364948580232,Billing,5.0,1.0,0.54,0.43,,Satisfied,0.0,0.0,CUST_00883
,62.0,Canada,Berlin,Individual,,Web,Monthly,12.0,1.0,4.697446331271067,2.0,-0.05,,100.0,5200.0,Card,1.0,No,No,3.0,30.211123622257816,,3.0,0.0,0.17,0.19,-29.0,Neutral,0.0,0.0,CUST_00884
Female,52.0,USA,Dhaka,Individual,24.0,Referral,Quarterly,22.0,3.0,19.623743916513654,4.0,0.32,10.0,20.0,480.0,Card,0.0,No,No,2.0,34.845353198678765,Billing,,1.0,0.55,0.46,-11.0,Satisfied,0.0,0.0,CUST_00885
Male,20.0,UK,Delhi,Individual,42.0,Referral,Quarterly,25.0,3.0,31.703840662602303,3.0,-0.13,4.0,30.0,1260.0,Bank Transfer,0.0,No,No,4.0,12.52099798823504,Technical,4.0,0.0,0.74,0.16,40.0,Neutral,3.0,0.0,CUST_00886
Male,,Germany,London,SME,56.0,Referral,Yearly,17.0,3.0,7.846421052791637,3.0,0.19,1.0,20.0,1120.0,Bank Transfer,0.0,Yes,Yes,0.0,29.933167246851667,,4.0,0.0,0.82,,-37.0,Satisfied,1.0,0.0,CUST_00887
female,22.0,Australia,new york,Individual,57.0,Referral,Monthly,31.0,0.0,1.5853448053232189,2.0,-0.23,14.0,10.0,570.0,Card,0.0,Yes,No,0.0,11.818466087831592,,,0.0,0.24,0.23,30.0,,1.0,0.0,CUST_00888
Female,43.0,UK,New York,SME,22.0,,Monthly,28.0,0.0,18.36105711338228,,-0.07,2.0,,1100.0,PayPal,,Yes,No,0.0,,Technical,3.0,0.0,0.85,0.41,62.0,Unsatisfied,0.0,0.0,CUST_00889
MALE,28.0,USA,berlin,Individual,18.0,Mobile,YEARLY,3.0,1.0,23.999202531277952,5.0,0.14,19.0,30.0,, Card    ,0.0,Yes,Yes,,35.12405344569534,,3.0,2.0,0.82,0.33,13.0,satisfied,0.0,0.0,CUST_00890
Male,24.0,UK,,,,Web,Monthly,26.0,,8.068292070637936,5.0,,11.0,30.0,480.0,Card,0.0,,No,1.0,27.485367978268027,Billing,4.0,0.0,0.64,0.37,23.0,Unsatisfied,1.0,0.0,CUST_00891
Male,70.0,Australia,London,Enterprise,36.0,Referral,Monthly,37.0,0.0,21.715550696659815,7.0,,5.0,30.0,1080.0,PayPal,0.0,No,No,2.0,26.97796470478809,Billing,4.0,2.0,0.4,,-42.0,Satisfied,1.0,0.0,CUST_00892
Male,,UK,Sydney,SME,,Referral,Quarterly,12.0,4.0,23.7329079967334,6.0,-0.23,33.0,10.0,520.0,Bank Transfer,1.0,Yes,No,3.0,9.73752169600792,Technical,,0.0,0.15,0.13,52.0,Satisfied,1.0,0.0,CUST_00893
Male,27.0,USA,Dhaka,SME,13.0,Web,,6.0,0.0,17.67556251585445,3.0,-0.12,13.0,50.0,650.0,Bank Transfer,,Yes,No,0.0,26.18236254869299,Service,4.0,0.0,,0.34,77.0,Unsatisfied,1.0,0.0,CUST_00894
,59.0,Australia,London,Individual,56.0,Web,,16.0,1.0,12.215499627310638,8.0,-0.21,6.0,50.0,,PayPal,1.0,No,No,0.0,,,2.0,,0.46,0.05,-15.0,Neutral,2.0,0.0,CUST_00895
Female,69.0,Australia,New York,SME,37.0,Web,Yearly,19.0,0.0,20.652157613286928,7.0,-0.17,3.0,20.0,740.0,PayPal,0.0,,No,3.0,,Service,4.0,0.0,0.35,0.49,-14.0,Neutral,0.0,0.0,CUST_00896
Female,51.0,UK,Toronto,Individual,52.0,Referral,Quarterly,20.0,5.0,11.346775301064213,5.0,0.13,3.0,50.0,2600.0,Card,2.0,No,Yes,1.0,23.7037788744604,Technical,5.0,0.0,0.7,0.06,,Neutral,2.0,0.0,CUST_00897
Female,20.0,Australia,Berlin,Individual,24.0,Mobile,Quarterly,30.0,5.0,,,-0.17,3.0,70.0,1680.0,Card,,No,Yes,0.0,37.71112419756168,Technical,3.0,0.0,0.52,0.05,-2.0,Satisfied,0.0,0.0,CUST_00898
Male,25.0,Bangladesh,toronto,Individual,19.0,Web,,13.0,0.0,12.45143695237932,6.0,0.06,6.0,10.0,190.0,Paypal,,No,No,1.0,21.353016419576228,technical,5.0,0.0,0.88,0.45,48.0,,1.0,0.0,CUST_00899
 Male    ,48.0,UK,Sydney,Individual,50.0,Web,Quarterly,,,16.967049347136754,2.0,0.0,2.0,50.0,2500.0,Card,0.0,No,Yes,0.0,16.603541785562467,,5.0,0.0,0.28,0.3,14.0,Satisfied,1.0,0.0,CUST_00900
Male,28.0,Germany,,Individual,20.0,Referral,Quarterly,27.0,5.0,16.23361602875006,9.0,-0.14,12.0,50.0,1000.0,Card,,Yes,No,1.0,15.070370913618088,Technical,3.0,0.0,0.27,0.2,50.0,Satisfied,3.0,0.0,CUST_00901
Female,62.0,Australia,Sydney,SME,27.0,Mobile,Monthly,21.0,1.0,14.81923741375848,5.0,-0.16,17.0,20.0,,PayPal,1.0,No,,1.0,19.30880620073824,Billing,4.0,0.0,0.76,0.17,27.0,Neutral,5.0,0.0,CUST_00902
Female,24.0,UK,Toronto,Individual,17.0,Web,Monthly,13.0,5.0,13.30533386329541,3.0,0.11,0.0,10.0,170.0,Bank Transfer,2.0,No,No,2.0,41.591244882892326,,,0.0,0.6,0.22,9.0,Unsatisfied,2.0,1.0,CUST_00903
Male,62.0,Germany,London,SME,16.0,Web,,8.0,3.0,,2.0,0.12,13.0,10.0,160.0, PayPal    ,0.0,Yes,No,,19.044669896646408, Technical    ,3.0,0.0,0.16,0.03,-23.0,Unsatisfied,2.0,0.0,CUST_00904
Male,19.0,Australia,Dhaka,SME,1.0,Web,Monthly,4.0,4.0,9.89423733128658,2.0,,7.0,100.0,100.0,Card,0.0,Yes,No,2.0,22.583211675801977,,2.0,0.0,0.82,0.08,100.0,Neutral,1.0,0.0,CUST_00905
Female,,Germany,Delhi,Individual,21.0,Web,MONTHLY,5.0,7.0,9.32236245132727,8.0,-0.01,0.0,30.0,630.0,Card,1.0,No,No,2.0,23.42524969675856, Billing    ,2.0,0.0,0.64,0.3,72.0,Neutral,0.0,1.0,CUST_00906
Female,58.0,India,Delhi,Individual,27.0,Mobile,Monthly,3.0,7.0,22.95159534546189,5.0,-0.05,,50.0,1350.0,Card,0.0,Yes,No,2.0,12.503029834880474,Billing,5.0,0.0,0.77,0.48,-15.0,Unsatisfied,1.0,1.0,CUST_00907
Male,49.0,Australia,Dhaka,SME,1.0,Mobile,Monthly,35.0,0.0,,2.0,-0.25,21.0,30.0,30.0,Card,0.0,,No,4.0,29.29259828690095,Billing,2.0,,0.19,,21.0,,0.0,1.0,CUST_00908
,37.0,India,Sydney,,30.0,,Monthly,18.0,2.0,10.15470388896275,1.0,0.02,12.0,30.0,900.0,Bank Transfer,0.0,No,No,0.0,25.314556518979188,Service,3.0,0.0,0.48,0.39,51.0,Neutral,,0.0,CUST_00909
Female,74.0,USA,Delhi,Individual,20.0,Mobile,Yearly,40.0,7.0,9.716838713283815,8.0,-0.19,5.0,10.0,,Card,3.0,No,No,0.0,19.77573180342334,,,0.0,0.65,0.11,-13.0,Neutral,3.0,0.0,CUST_00910
Male,51.0,USA,Delhi,SME,24.0,Web,Monthly,23.0,4.0,,6.0,-0.07,12.0,20.0,480.0,Card,1.0,No,No,0.0,32.555480041188616,Billing,4.0,0.0,0.26,0.26,2.0,Satisfied,0.0,0.0,CUST_00911
Male,67.0,UK,New York,Individual,46.0,Referral,Monthly,4.0,7.0,2.0788152269634814,5.0,-0.03,3.0,20.0,920.0,PayPal,2.0,No,Yes,1.0,10.56850785734728,Service,3.0,1.0,0.26,0.02,10.0,Satisfied,1.0,1.0,CUST_00912
Male,33.0,Canada,Delhi,Individual,56.0,,Monthly,18.0,4.0,21.612659450361747,5.0,-0.13,2.0,20.0,1120.0,Card,1.0,Yes,No,0.0,16.592203819078005,Technical,4.0,0.0,0.53,0.15,-34.0,Neutral,0.0,0.0,CUST_00913
Female,42.0,India,New York,Individual,2.0,Web,Monthly,26.0,1.0,17.526564296689244,5.0,0.23,25.0,,20.0,Card,0.0,No,No,1.0,24.105246681829893,Billing,3.0,0.0,0.12,,10.0,Unsatisfied,0.0,1.0,CUST_00914
Female,29.0,India,Berlin,Individual,15.0,Web,Monthly,23.0,3.0,8.718633221400214,5.0,0.39,3.0,,750.0,Card,0.0,Yes,No,2.0,7.967137572421091,Service,3.0,0.0,0.27,,-46.0,,2.0,0.0,CUST_00915
Female,24.0,,New York,Individual,29.0,Web,Monthly,15.0,3.0,19.953185050272644,3.0,0.24,2.0,10.0,290.0,Bank Transfer,0.0,No,No,0.0,14.193398126288326,Technical,3.0,1.0,0.13,0.31,24.0,Satisfied,2.0,0.0,CUST_00916
,56.0,,New York,Individual,35.0,,Monthly,28.0,3.0,21.19071036753241,5.0,0.23,9.0,30.0,1050.0,Card,0.0,No,No,0.0,,Service,3.0,0.0,0.22,0.31,-18.0,Satisfied,2.0,0.0,CUST_00917
Female,34.0,Canada,Toronto,Individual,13.0,Web,Monthly,9.0,,14.64913102040432,6.0,0.09,21.0,20.0,260.0,Card,0.0,No,No,0.0,32.27611158626909,Technical,4.0,0.0,0.76,0.1,26.0,Unsatisfied,2.0,0.0,CUST_00918
Female,62.0,Germany,New York,Individual,19.0,Mobile,Monthly,21.0,2.0,18.16549578849321,5.0,0.16,14.0,30.0,570.0,,0.0,No,No,3.0,1.0,,5.0,0.0,0.54,0.15,-10.0,Satisfied,1.0,0.0,CUST_00919
Female,,Germany,New York,,1.0,,Yearly,,1.0,18.01618807463797,7.0,0.14,,50.0,50.0,Card,1.0,Yes,No,0.0,9.25110935890697,,4.0,2.0,,0.41,13.0,Unsatisfied,0.0,1.0,CUST_00920
Male,23.0,Canada,Toronto,Individual,45.0,Web,Monthly,16.0,2.0,14.89865255584894,3.0,-0.04,10.0,30.0,1350.0,Card,1.0,Yes,,0.0,25.421598526496105,Service,2.0,0.0,0.8,0.38,-14.0,Satisfied,2.0,1.0,CUST_00921
Male,40.0,India,New York,SME,47.0,Referral,Quarterly,24.0,3.0,,6.0,0.2,2.0,70.0,3290.0,PayPal,1.0,Yes,,0.0,25.75495175078957,Billing,4.0,0.0,0.88,0.45,27.0,Unsatisfied,1.0,0.0,CUST_00922
Male,44.0,India,Delhi,Individual,16.0,Web,Monthly,,4.0,17.561395044757433,3.0,-0.07,7.0,100.0,1600.0,PayPal,1.0,No,No,0.0,13.283237888495355,Technical,3.0,2.0,0.88,0.03,2.0,Neutral,3.0,,CUST_00923
Male,63.0,India,Dhaka,Individual,43.0,Mobile,Monthly,21.0,,16.448027152258202,5.0,0.2,18.0,100.0,4300.0,Card,1.0,No,No,2.0,45.72201313590288,Service,3.0,0.0,0.64,0.32,4.0,Neutral,0.0,0.0,CUST_00924
Male,23.0,Bangladesh,,SME,3.0,Web,Quarterly,24.0,,,2.0,0.15,27.0,20.0,60.0,Card,1.0,No,No,1.0,37.21718275963096,,,0.0,0.44,0.06,99.0,Neutral,4.0,0.0,CUST_00925
Male,55.0,UK,Berlin,SME,40.0,Web,Monthly,17.0,2.0,11.139856498797686,3.0,-0.01,13.0,20.0,800.0,Card,1.0,Yes,No,2.0,22.701446186559792,Technical,2.0,,0.5,0.43,4.0,Neutral,2.0,0.0,CUST_00926
Male,19.0,Australia,New York,,6.0,Web,Monthly,33.0,3.0,26.17918569153876,7.0,-0.15,4.0,20.0,120.0,PayPal,,No,No,1.0,22.978318792353395,Service,5.0,0.0,0.11,0.31,-15.0,,1.0,0.0,CUST_00927
 Female    ,39.0,Canada,New York,Individual,31.0,Web,,22.0,0.0,12.367594784163126,7.0,0.14,3.0,20.0,620.0,BANK TRANSFER,1.0,Yes,No,0.0,27.264432731953143,Service,4.0,0.0,0.48,0.15,-2.0,,1.0,0.0,CUST_00928
,37.0,Canada, Berlin    ,Individual,5.0,Referral,MONTHLY,25.0,1.0,6.032312287978666,,,3.0,20.0,100.0,PayPal,1.0,No,No,0.0,33.19071550302442,service,2.0,0.0,0.24,,-26.0, Satisfied    ,1.0,1.0,CUST_00929
Male,42.0,Bangladesh,Dhaka,SME,,,Quarterly,31.0,2.0,23.25172426554448,10.0,0.09,13.0,30.0,780.0,Card,0.0,No,No,,17.849573340445296,,5.0,0.0,0.63,0.37,4.0,Neutral,3.0,0.0,CUST_00930
,32.0,Canada,Toronto,Individual,28.0,Mobile,Quarterly,25.0,0.0,14.702335718644571,5.0,0.07,2.0,50.0,1400.0,card,0.0,Yes,No,0.0,33.7688610485384,,5.0,1.0,0.72,0.39,-3.0,,3.0,0.0,CUST_00931
,66.0,Canada,Delhi,Individual,15.0,Mobile,,10.0,3.0,14.477485783848984,6.0,0.04,5.0,10.0,150.0,Card,1.0,No,No,3.0,19.938626971267077,,4.0,1.0,0.8,0.48,-92.0,Satisfied,1.0,0.0,CUST_00932
Male,46.0,Bangladesh,Dhaka,SME,9.0,Web,Monthly,27.0,1.0,14.604652065269445,6.0,0.06,33.0,70.0,630.0,PayPal,0.0,Yes,,1.0,1.0,Technical,3.0,0.0,0.52,0.48,28.0,Satisfied,,,CUST_00933
,,, New York    ,Enterprise,55.0,,,22.0,1.0,23.78880745861979,4.0,-0.02,24.0,20.0,1100.0,,0.0,No,Yes,2.0,33.45688858380255, Technical    ,3.0,0.0,0.39,0.44,8.0, Satisfied    ,0.0,0.0,CUST_00934
Female,54.0,India,Delhi,,22.0,Web,Monthly,12.0,1.0,8.1875230295488,5.0,-0.11,25.0,50.0,1100.0,Card,0.0,Yes,No,1.0,29.108440066989647,Billing,5.0,,0.43,0.02,31.0,Satisfied,1.0,0.0,CUST_00935
