,gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count,churn,account_id,customer_id
2268,Male,29.0,Germany,Toronto,SME,14.0,Referral,Quarterly,30.0,,7.4714958552245,5.0,-0.25,52.0,20.0,280.0,Card,0.0,No,No,2.0,35.42668036487959,Technical,4.0,,,0.18,10.0,Unsatisfied,,1.0,A-e1b9cd,
2269,Female,71.0,Canada,Sydney,Individual,32.0,Mobile,Quarterly,22.0,2.0,21.14420245978741,5.0,0.04,12.0,10.0,320.0,,,Yes,No,1.0,34.169479112786846,Billing,3.0,0.0,0.45,0.29,,Satisfied,1.0,0.0,A-bb1eaa,
2270,Male,23.0,Australia,,Individual,16.0,Web,Monthly,5.0,4.0,4.215838284873502,2.0,-0.16,18.0,10.0,160.0,Bank Transfer,0.0,No,No,3.0,24.160468152872227,Technical,3.0,0.0,0.84,0.12,49.0,Satisfied,2.0,0.0,A-10b8f2,
2271, Male    ,60.0,australia,Sydney,,29.0,Referral,Quarterly,9.0,6.0,8.581157210943088,5.0,-0.01,6.0,10.0,290.0,Card,0.0,Yes, No    ,1.0,16.04273163294009,Technical,,1.0,0.49,0.05,42.0,Unsatisfied,1.0,0.0,A-9F0B68,
2272,Male,57.0,Australia,Delhi,Individual,38.0,Web,Monthly,15.0,6.0,7.516991921292448,4.0,-0.05,1.0,30.0,1140.0,Card,2.0,No,Yes,4.0,27.975465226853995,Technical,4.0,0.0,,0.08,69.0,Satisfied,,1.0,A-5a215a,
2273,Female,61.0,UK,Sydney,Individual,34.0,Mobile,Monthly,1.0,5.0,17.487398964653575,4.0,-0.24,6.0,70.0,2380.0,Card,,Yes,No,0.0,24.69632468883237,,5.0,0.0,0.36,0.32,52.0,Satisfied,1.0,1.0,A-271f46,
2274,FEMALE,46.0, Canada    ,New York,Sme,26.0,Mobile,,8.0,4.0,17.588116084451926,5.0,0.11,23.0,70.0,1820.0,Card,1.0,No,,4.0,36.004313128880085,Service,4.0,0.0,0.63,0.49,83.0,Satisfied,0.0,0.0,A-d40bf7,
2275,,47.0,,Sydney,,5.0,Web, Quarterly    ,23.0,4.0,16.343542655798238,4.0,-0.12,5.0,50.0,250.0,Card,0.0,Yes,,3.0,37.64743151785048,Billing,4.0,0.0,0.21,0.4,75.0,Satisfied,2.0,1.0, A-fa3095    ,
2276,Female,19.0,Germany,Sydney,Individual,19.0,Mobile,Monthly,38.0,3.0,13.799246315980666,9.0,0.06,4.0,50.0,950.0,,,No,No,3.0,44.65266700595306,,2.0,0.0,0.33,0.49,-16.0,Satisfied,1.0,1.0,A-812c5b,
2277,Female,26.0,Germany,Dhaka,SME,39.0,Web,Yearly,1.0,4.0,19.110845418770342,2.0,0.3,10.0,30.0,1170.0,PayPal,0.0,No,No,1.0,20.20092305841476,Technical,4.0,1.0,0.29,0.43,6.0,Unsatisfied,1.0,0.0,A-4a4c2d,
2278,Male,64.0,,Toronto,Individual,28.0,Web,Quarterly,,3.0,14.822548863842163,,-0.12,34.0,20.0,560.0,PayPal,0.0,No,Yes,0.0,18.89529974438604,Technical,3.0,2.0,0.86,0.2,-4.0,Satisfied,,0.0,A-b44e3e,
2279,Male,19.0,UK,Berlin,Individual,28.0,Web,Monthly,23.0,0.0,25.1421579439387,1.0,0.11,8.0,30.0,840.0,PayPal,0.0,No,No,0.0,7.188468027424179,Technical,3.0,0.0,0.82,0.23,13.0,Satisfied,1.0,0.0,A-139c3b,
2280, Female    ,46.0,UK,London,individual,17.0,Referral,Quarterly,,6.0,21.417292494542984,6.0,-0.09,7.0,20.0,340.0,Card,1.0,No,No,0.0,38.11613515220465,Technical,3.0,0.0,0.25,0.16,31.0,Satisfied,0.0,0.0,A-ACB7F7,
2281,Male,50.0,India,Toronto,Individual,37.0,Referral,Monthly,35.0,7.0,9.015631902277512,6.0,-0.21,6.0,30.0,1110.0,Card,0.0,,No,1.0,23.77824611762601,,3.0,0.0,0.89,0.32,-5.0,Unsatisfied,0.0,0.0,A-56962b,
2282,,27.0,,Toronto,SME,44.0,Web,Quarterly,24.0,6.0,11.928987987813397,6.0,0.26,5.0,10.0,440.0,PayPal,,,Yes,1.0,34.99978001943387,Technical,4.0,0.0,0.7,0.36,1.0,Neutral,1.0,0.0,A-09316c,
2283,Female,,Australia,Toronto, SME    ,19.0,Web, Quarterly    ,28.0,3.0,12.987127162827507,7.0,0.05,5.0,50.0,950.0,Card,0.0,,,0.0,41.80956399116046,Service,5.0,0.0,0.48,0.26,50.0,Neutral,0.0,0.0,A-40DE06,
2284,Female,61.0,India,London,SME,27.0,Web,Yearly,28.0,0.0,7.674622966753297,6.0,0.08,35.0,30.0,810.0,Card,1.0,Yes,No,2.0,39.88387468709541,Technical,,0.0,0.88,0.42,-38.0,Satisfied,3.0,1.0,,
2285,Female,72.0,India,Delhi,Individual,50.0,Mobile,Monthly,30.0,7.0,,6.0,-0.19,3.0,,1500.0,Card,,No,No,1.0,15.765137766275425,Technical,5.0,0.0,0.77,0.41,80.0,Satisfied,1.0,0.0,A-b48f73,
2286,Male,25.0,UK,Toronto,,12.0,Referral,Monthly,7.0,,19.930609664702867,3.0,-0.09,6.0,50.0,600.0,Card,1.0,No,No,3.0,38.51249004195256,Technical,5.0,0.0,0.71,0.32,100.0,Satisfied,1.0,0.0,A-0dbdc6,
2287,Male,,Australia,Berlin,Individual,3.0,Referral,Yearly,28.0,2.0,12.489159177862144,7.0,-0.05,,20.0,60.0,Bank Transfer,0.0,No,No,,14.295734206884864,Technical,4.0,0.0,0.3,0.5,35.0,Satisfied,0.0,0.0,A-671f31,
2288,Male,71.0,Australia,Delhi,Individual,58.0,,Monthly,20.0,4.0,17.65650608810321,1.0,0.01,6.0,20.0,1160.0,Card,0.0,Yes,No,0.0,14.439192177285072,,4.0,0.0,0.37,0.41,,Satisfied,2.0,0.0,A-9bfc9f,
2289,male,50.0, Germany    ,Sydney,Individual,4.0,,,25.0,2.0,11.34432009030374,8.0,0.15,4.0,10.0,40.0,Bank Transfer,0.0,No,NO,4.0,,Technical,,1.0,0.34,0.1,100.0,,1.0,0.0,a-e60f9d,
2290,female,64.0, UK    ,Berlin,Sme,47.0,Web,,13.0,4.0,21.02185880866258,5.0,0.09,6.0,20.0,940.0,Bank Transfer,0.0,Yes,,0.0,27.856626650593174,Billing,3.0,1.0,,0.13,,Neutral,1.0,0.0,,
2291,Female,23.0,,Dhaka,SME,47.0,Web,Monthly,13.0,5.0,13.256503895227713,3.0,-0.05,5.0,50.0,2350.0,Card,0.0,Yes,No,0.0,24.118845967530795,Technical,3.0,0.0,0.29,0.44,19.0,Satisfied,4.0,0.0,A-b48f73,
2292,Male,61.0,India,Delhi,SME,11.0,Mobile,Monthly,14.0,2.0,,10.0,,22.0,20.0,220.0,Card,0.0,No,No,0.0,15.373455403336022,Service,4.0,0.0,0.45,0.41,-38.0,Satisfied,0.0,0.0,A-08e34e,
2293,,57.0, Canada    ,Sydney,SME,34.0,Mobile,,27.0,1.0,5.519218398423641,8.0,-0.04,9.0,50.0,1700.0,Card,1.0,No,no,,20.871594416826355,Technical,3.0,1.0,,0.44,22.0,Unsatisfied,0.0,0.0,,
2294,,62.0,Canada,Sydney,Individual,18.0,Referral,Monthly,19.0,1.0,23.35329328459773,5.0,-0.01,5.0,50.0,900.0,Bank Transfer,2.0,No,No,2.0,24.41961208081089,Billing,3.0,0.0,0.33,0.49,-15.0,,1.0,1.0,A-39868b,
2295,Female,36.0,UK,Toronto,Individual,35.0,Web,Monthly,14.0,3.0,13.265130297451666,7.0,-0.05,4.0,10.0,,PayPal,0.0,No,No,0.0,15.791974174771235,,4.0,1.0,0.12,,11.0,Unsatisfied,1.0,0.0,A-8b0451,
2296,,49.0,Germany,Toronto,SME,18.0,Web,Monthly,16.0,5.0,17.086242236488275,5.0,-0.01,0.0,30.0,540.0,PayPal,1.0,Yes,No,1.0,31.18111709594161,Technical,4.0,0.0,0.39,,31.0,Neutral,0.0,0.0,A-fdfc91,
2297, Male    ,44.0,germany,London,SME,,,Monthly,32.0,,13.39073791454924,8.0,0.19,2.0,100.0,4600.0,Card,0.0,Yes,Yes,0.0,,Service,2.0,1.0,0.67,0.19,22.0,Neutral,3.0,1.0,A-19B2C8,
2298,Male,18.0,Australia,New York,SME,6.0,Referral,Quarterly,24.0,2.0,,7.0,-0.06,21.0,50.0,300.0,Bank Transfer,0.0,Yes,Yes,3.0,6.663375494758405,Technical,3.0,1.0,0.18,0.43,100.0,Neutral,0.0,0.0,A-0cc442,
2299,Female,60.0,Bangladesh,Berlin, Individual    ,34.0,Mobile,,24.0,4.0,6.894426430764948,7.0,-0.11,4.0,30.0,1020.0,Card,0.0,No,No,1.0,33.92111284580221,Technical,2.0,1.0,0.52,0.35,-64.0,Neutral,1.0,1.0,A-4a4c2d,
2300,Male,69.0,UK,London,SME,33.0,Web,Monthly,22.0,0.0,22.051078743634772,10.0,0.07,31.0,20.0,660.0,PayPal,0.0,No,No,1.0,25.86504422542017,Service,3.0,0.0,0.79,0.2,18.0,Neutral,1.0,0.0,A-9f9299,
2301,Male,50.0,Bangladesh,London,Individual,8.0,Referral,Monthly,30.0,3.0,21.739662387010068,5.0,-0.09,1.0,10.0,80.0,Card,1.0,Yes,No,0.0,29.413418845517096,Service,3.0,0.0,0.14,0.2,56.0,Satisfied,0.0,0.0,A-5c046d,
2302,Male,57.0,Canada,Berlin,SME,42.0,Web,Quarterly,9.0,7.0,4.926368221958535,7.0,-0.01,1.0,70.0,2940.0,Bank Transfer,2.0,,No,2.0,26.340052362396168,Technical,2.0,1.0,0.42,0.48,40.0,,1.0,1.0,A-20736a,
2303,Male,49.0,India,Delhi,Individual,20.0,Web,Monthly,28.0,5.0,22.914337952343345,7.0,-0.17,20.0,100.0,2000.0,Bank Transfer,1.0,No,No,1.0,7.907927922992812,Service,3.0,,0.79,0.5,-57.0,Neutral,,0.0,A-b54c01,
2304,Male,22.0,Australia,Dhaka,Enterprise,50.0,Web,Monthly,,3.0,11.034663885402187,6.0,0.03,7.0,10.0,500.0,Bank Transfer,2.0,No,No,0.0,38.19478621688141,Technical,,0.0,0.57,0.38,42.0,Neutral,0.0,0.0,A-313be3,
2305,MALE,34.0,India,,,20.0,Mobile, Monthly    ,10.0,5.0,15.98172198010234,6.0,-0.02,19.0,10.0,200.0,,0.0,No,No,2.0,17.042806604104676,,3.0,0.0,0.22,0.38,33.0,Unsatisfied,1.0,0.0, A-1e1b80    ,
2306,Female,25.0,Bangladesh,Sydney,SME,43.0,Mobile,Monthly,19.0,1.0,14.5695169544549,8.0,-0.12,3.0,20.0,,Card,0.0,Yes,Yes,2.0,20.78936134130988,Billing,4.0,1.0,0.19,0.17,100.0,Satisfied,1.0,0.0,A-2ebb4b,
2307,Female,74.0,Australia,Dhaka,Individual,18.0,Mobile,Yearly,17.0,7.0,19.143681511944244,,-0.06,2.0,20.0,360.0,Bank Transfer,0.0,No,No,2.0,17.29539464429276,Technical,4.0,,0.13,0.18,50.0,Unsatisfied,0.0,0.0,A-3a7284,
2308,Male,59.0,USA,New York,Individual,27.0,Mobile,Yearly,23.0,5.0,20.47130185107354,1.0,-0.03,9.0,50.0,1350.0,PayPal,1.0,No,No,2.0,7.051796825905335,Billing,4.0,0.0,0.17,0.44,40.0,Satisfied,2.0,,A-de58ca,
2309,male,51.0,India,Delhi,INDIVIDUAL,48.0,Web, Monthly    ,29.0,2.0,12.034857114276232,6.0,0.3,3.0,20.0,960.0,PayPal,0.0,No,NO,2.0,32.499352289110504,Billing,1.0,0.0,0.76,0.25,56.0,Unsatisfied,,0.0,,
2310,Female,26.0,UK,Toronto,SME,5.0,Web,Quarterly,8.0,2.0,22.35678519031938,,,0.0,30.0,150.0,Card,0.0,,Yes,1.0,20.598901626876884,Technical,4.0,1.0,0.49,0.46,28.0,Satisfied,1.0,1.0,A-0a62f5,
2311,Female,73.0,India,New York,Individual,7.0,Referral,Quarterly,37.0,7.0,,3.0,0.3,23.0,20.0,140.0,PayPal,1.0,,No,0.0,25.87839393676402,,3.0,0.0,0.41,0.34,27.0,Satisfied,0.0,0.0,A-7e0a10,
2312,Male,40.0,India,New York,Individual,22.0,Mobile,Yearly,3.0,5.0,17.362848512661763,6.0,0.07,17.0,50.0,1100.0,PayPal,1.0,No,No,1.0,12.928137385309103,,2.0,0.0,0.6,0.46,33.0,Satisfied,2.0,,A-2e3bad,
2313,,52.0,australia,,,34.0,Web, Yearly    ,12.0,3.0,7.51237959590669,10.0,-0.15,7.0,20.0,680.0,PayPal,0.0,No,no,1.0,17.513188262868514,Service,5.0,0.0,0.47,0.05,-65.0,Neutral,1.0,0.0, A-526d93    ,
2314,Male,67.0,Canada,New York,SME,43.0,Web,Monthly,39.0,6.0,,3.0,0.05,2.0,20.0,860.0,Card,,No,No,2.0,32.07141907871483,Billing,3.0,0.0,0.24,0.27,83.0,Neutral,2.0,0.0,A-7cfe77,
2315,Male,24.0,,Delhi,Individual,13.0,,Yearly,5.0,1.0,11.362650524516486,4.0,0.06,3.0,10.0,130.0,,0.0,Yes,Yes,2.0,13.931967652229034,Technical,2.0,0.0,0.81,,4.0,Satisfied,1.0,0.0,A-1f0636,
2316, Female    ,32.0,usa,Delhi,INDIVIDUAL,52.0,Web,Yearly,14.0,7.0,12.43834907324469,1.0,0.19,0.0,,520.0,Bank Transfer,2.0,Yes,No,1.0,16.036820259964617,Billing,4.0,0.0,,0.24,36.0,Unsatisfied,1.0,0.0,a-ef84cf,
2317,Male,70.0,India,,Individual,32.0,Web,Quarterly,12.0,0.0,8.438375046880898,8.0,-0.03,1.0,50.0,,,1.0,Yes,No,2.0,17.82632997990379,Service,3.0,0.0,,0.03,-19.0,Unsatisfied,3.0,,A-20736a,
2318,Male,71.0,,London,SME,24.0,,Quarterly,0.0,1.0,24.77926102307328,3.0,0.18,4.0,30.0,720.0,PayPal,0.0,No,No,0.0,,Technical,4.0,0.0,0.8,0.3,-43.0,Satisfied,2.0,,A-4814a3,
2319,Male,37.0,Bangladesh,London,SME,16.0,Referral,Quarterly,18.0,2.0,14.254452898281524,3.0,0.16,17.0,10.0,160.0,PayPal,0.0,No,Yes,1.0,31.875554044120022,Billing,3.0,0.0,0.81,0.02,,Satisfied,1.0,0.0,A-4f18f0,
2320,Male,67.0,Canada,,SME,14.0,Web,Monthly,24.0,0.0,24.361432661710275,5.0,-0.15,15.0,100.0,1400.0,Card,,No,Yes,3.0,7.037660855554204,,2.0,1.0,0.71,0.2,76.0,Neutral,1.0,0.0,A-02fac6,
2321,,42.0,GERMANY,Toronto,,39.0,Referral,Quarterly,24.0,6.0,20.012053447664044,6.0,-0.15,5.0,30.0,1170.0,Card,0.0,Yes,YES,0.0,32.01891716667728,Technical,5.0,0.0,0.11,0.27,-6.0,Satisfied,0.0,0.0,A-98a59a,
2322,Female,20.0,USA,Toronto,SME,7.0,,Quarterly,14.0,6.0,9.420495971480792,4.0,-0.24,20.0,10.0,70.0,,0.0,Yes,No,,34.28046439478799,Service,5.0,0.0,0.41,0.17,48.0,,1.0,0.0,A-484819,
2323,Female,72.0,USA,Berlin,Individual,44.0,Web,Monthly,0.0,3.0,9.563004372362252,3.0,0.16,8.0,,880.0,Bank Transfer,,Yes,Yes,0.0,35.022205604622336,Service,,1.0,0.74,0.34,-3.0,Satisfied,,0.0,A-30b4ca,
2324,Male,63.0,Bangladesh,Berlin,Individual,12.0,Mobile,Yearly,12.0,6.0,13.767436031229646,8.0,-0.17,25.0,30.0,360.0,Bank Transfer,1.0,No,Yes,,10.570889148660536,,4.0,0.0,0.23,0.42,53.0,Unsatisfied,2.0,0.0,A-f45426,
2325,Male,41.0,Australia,,SME,20.0,Web,Yearly,10.0,0.0,14.694291050857665,4.0,0.19,0.0,10.0,200.0,Card,1.0,No,No,2.0,37.08394321580992,Billing,2.0,1.0,0.75,0.23,,Neutral,1.0,1.0,A-854864,
2326,Female,51.0,India,Dhaka,Individual,33.0,Mobile,Monthly,22.0,3.0,12.00622415683522,,0.23,19.0,30.0,990.0,Card,0.0,No,No,1.0,13.105332633891605,Service,4.0,0.0,0.68,0.23,33.0,Satisfied,1.0,0.0,A-328bd0,
2327,Male,63.0,Germany,New York,Individual,55.0,,Quarterly,14.0,7.0,22.613964438461057,5.0,0.34,12.0,10.0,550.0,Bank Transfer,1.0,No,No,0.0,19.41113322507484,Technical,2.0,0.0,0.22,0.15,29.0,Satisfied,1.0,0.0,A-5f7781,
2328,Male,39.0,Australia,New York,SME,,Web,Monthly,23.0,1.0,15.587309267642814,7.0,0.11,4.0,20.0,120.0,Bank Transfer,,Yes,No,3.0,43.89081332155831,Technical,5.0,1.0,0.26,0.22,-20.0,Neutral,0.0,0.0,A-4814a3,
2329,Female,28.0,UK,Toronto,Individual,40.0,Mobile,Quarterly,0.0,0.0,16.874404940300916,3.0,0.13,11.0,30.0,1200.0,Card,1.0,Yes,No,1.0,33.94583866878171,Billing,5.0,,0.65,0.09,20.0,Satisfied,0.0,0.0,A-902ef7,
2330,Female,65.0,Canada,,Individual,27.0,,Monthly,,4.0,7.451645983202734,5.0,0.01,12.0,50.0,1350.0,Card,1.0,,No,2.0,32.45601680525452,,3.0,1.0,0.8,0.37,20.0,Unsatisfied,0.0,0.0,A-94d3da,
2331,female,25.0,Canada,New York,SME,13.0,Web,,24.0,2.0,2.4479981338130585,3.0,-0.2,9.0,20.0,260.0,Card,0.0,Yes,Yes,0.0,29.14000010041325,Billing,4.0,0.0,0.55,0.01,58.0,Satisfied,1.0,0.0, A-7641d3    ,
2332,Female,56.0,Australia,Sydney,Enterprise,5.0,Web,Monthly,,3.0,21.067747059871643,5.0,-0.15,,30.0,150.0,PayPal,0.0,No,No,2.0,22.57248952554077,,4.0,0.0,0.61,,20.0,Unsatisfied,0.0,0.0,A-10b8da,
2333,,60.0,Bangladesh,London,SME,24.0,Web,Yearly,12.0,0.0,7.996884158878573,4.0,-0.06,22.0,,480.0,PayPal,,Yes,Yes,0.0,,Technical,3.0,0.0,0.68,0.32,34.0,Unsatisfied,0.0,0.0,A-82861f,
2334,Male,52.0,Canada,New York,Individual,10.0,Referral,Quarterly,16.0,0.0,13.01992735073374,3.0,0.11,2.0,100.0,1000.0,Card,0.0,No,No,0.0,24.756370380814403,,3.0,1.0,0.34,0.29,22.0,Unsatisfied,1.0,0.0,A-32fb14,
2335,Female,66.0,,New York,Individual,59.0,Web,Monthly,30.0,6.0,14.390421674584683,4.0,-0.05,2.0,,2950.0,PayPal,0.0,No,,1.0,40.60887300887987,Billing,4.0,0.0,0.57,0.26,-27.0,Neutral,,0.0,A-39ddf4,
2336,Male,63.0,Canada,Berlin,Individual,46.0,Web,Quarterly,16.0,5.0,15.880868075393291,6.0,-0.06,6.0,50.0,2300.0,Card,0.0,No,No,1.0,27.79715012462642,Service,3.0,1.0,0.29,0.46,-18.0,Satisfied,0.0,0.0,A-09316c,
2337,Female,55.0,India,Sydney,SME,56.0,Web,Yearly,23.0,,11.516141476640728,5.0,0.28,11.0,70.0,3920.0,Card,0.0,No,No,2.0,21.59486851342835,,3.0,0.0,0.44,0.27,-38.0,Satisfied,0.0,1.0,A-c37cab,
2338,Female,25.0,,New York,Individual,32.0,Web,Monthly,19.0,6.0,9.167448838080787,3.0,-0.09,14.0,30.0,960.0,Bank Transfer,1.0,No,No,6.0,16.11002571327895,,5.0,0.0,0.33,,-69.0,Satisfied,2.0,0.0,A-1e1b80,
2339,MALE,71.0,Germany,London,sme,9.0,,MONTHLY,28.0,5.0,11.310907800921695,6.0,-0.16,45.0,50.0,450.0,PayPal,0.0,No,yes,0.0,20.86305595827061,Technical,3.0,1.0,0.38,0.14,100.0,Satisfied,0.0,0.0,,
2340,Female,54.0,USA,New York,Individual,,Web,Yearly,21.0,5.0,2.9153000844783694,4.0,0.17,3.0,50.0,2450.0,,1.0,No,No,3.0,19.253318994148557,,5.0,0.0,0.58,0.19,-46.0,Satisfied,1.0,0.0,A-56962b,
2341,male,,,Toronto, Individual    ,35.0,Mobile,QUARTERLY,7.0,5.0,17.856137852715158,2.0,0.17,7.0,20.0,700.0,Card,0.0,No,NO,0.0,24.667094946560592,Technical,5.0,2.0,0.16,0.1,100.0,Satisfied,1.0,,A-8AE3FC,
2342,Male,45.0,Australia,Sydney,SME,44.0,Mobile,Yearly,17.0,1.0,18.623135357899155,6.0,0.17,2.0,100.0,4400.0,,1.0,No,No,0.0,19.86662776910962,Service,2.0,0.0,0.73,0.19,-7.0,Unsatisfied,0.0,,A-9779ad,
2343,Male,57.0,India,New York,,12.0,Web,Monthly,29.0,4.0,17.860400178388836,4.0,-0.07,19.0,30.0,360.0,Card,0.0,No,No,1.0,37.02739476161873,,3.0,,,,-63.0,Satisfied,0.0,0.0,A-9174e0,
2344,Male,51.0,UK,Dhaka,SME,11.0,Mobile,Yearly,22.0,0.0,15.70375538278472,4.0,-0.07,4.0,30.0,330.0,,,No,No,1.0,27.223823189661903,Billing,2.0,0.0,0.77,0.22,19.0,Satisfied,3.0,0.0,A-eb7c38,
2345,Female,49.0,UK,Sydney,Enterprise,54.0,Mobile,Quarterly,7.0,2.0,22.51878478736953,8.0,0.25,31.0,30.0,1620.0,Card,0.0,Yes,,1.0,18.764211653317624,Technical,,0.0,0.49,0.24,-37.0,Neutral,0.0,0.0,A-3b37d9,
2346,Male,32.0,Bangladesh,New York,Enterprise,36.0,Web,Yearly,37.0,0.0,23.248917639623244,3.0,-0.03,12.0,30.0,1080.0,Card,0.0,No,No,1.0,15.426992570452954,Technical,4.0,0.0,0.57,0.05,7.0,Unsatisfied,2.0,0.0,A-560d27,
2347,,61.0,usa,London,enterprise,,Web,,13.0,0.0,22.202750889738603,1.0,0.05,13.0,20.0,160.0,Card,0.0,No,Yes,0.0,35.84984614430395,Service,3.0,0.0,,0.41,22.0,Satisfied,2.0,0.0,a-180abf,
2348,Female,34.0,Germany,London,SME,10.0,Web,Monthly,29.0,0.0,14.521634557516643,6.0,,0.0,70.0,700.0,Card,0.0,Yes,No,1.0,31.43959499618501,Billing,3.0,0.0,0.13,0.35,68.0,Neutral,1.0,0.0,A-18793f,
2349,Female,50.0,Australia,,SME,14.0,Web,Quarterly,33.0,,14.01752082295763,5.0,-0.08,8.0,10.0,140.0,PayPal,0.0,,No,1.0,42.91657767628103,Technical,3.0,0.0,0.22,0.14,,Neutral,1.0,0.0,A-902ef7,
2350,,64.0,india,Delhi,,30.0,Web,monthly,30.0,4.0,,5.0,-0.08,0.0,,600.0,Card,1.0,No,No,1.0,11.24856329640491,Technical,2.0,0.0,0.2,0.07,2.0,Neutral,,0.0,A-1AC5E0,
2351,Male,63.0,UK,Berlin,Individual,1.0,Mobile,Quarterly,11.0,7.0,10.34116741187234,7.0,-0.02,0.0,100.0,100.0,,0.0,No,No,5.0,41.5053167028518,,4.0,0.0,0.69,0.48,48.0,Unsatisfied,1.0,0.0,A-cc102e,
2352,MALE,69.0,,Berlin,Individual,12.0,Mobile,quarterly,30.0,6.0,,3.0,0.07,29.0,20.0,,Card,0.0,No,YES,0.0,17.76925853633211,Service,3.0,0.0,0.37,0.43,18.0,Neutral,1.0,0.0,A-D4E0D4,
2353,Female,71.0,India,Toronto,Individual,5.0,Referral,Quarterly,22.0,4.0,15.381702296251072,7.0,-0.15,0.0,20.0,100.0,Card,1.0,No,,,17.880030424646414,Technical,2.0,1.0,0.23,0.31,-20.0,,1.0,1.0,A-417d2f,
2354,Female,33.0,Canada,Delhi,Individual,14.0,Mobile,Monthly,,3.0,21.16025248400325,3.0,-0.16,27.0,50.0,700.0,PayPal,1.0,No,No,2.0,,,5.0,1.0,0.74,0.2,54.0,Satisfied,2.0,0.0,A-96215d,
2355,,46.0,Australia,Berlin,Individual,36.0,Mobile,QUARTERLY,19.0,3.0,24.61594561120134,,,,20.0,720.0,Card,1.0,No,Yes,2.0,24.99551365847329,Billing,1.0,0.0,0.75,0.25,35.0,Satisfied,0.0,1.0,A-98A59A,
2356,,26.0,Germany,Sydney,Individual,17.0,Mobile,Monthly,9.0,5.0,,1.0,0.12,0.0,50.0,850.0,Card,0.0,,Yes,3.0,28.176197432561427,Billing,4.0,1.0,0.27,0.37,27.0,Satisfied,1.0,0.0,A-1f0636,
2357,Male,50.0,India,Berlin,,58.0,Referral,Monthly,23.0,6.0,19.6949531703572,1.0,0.09,35.0,70.0,4060.0,Card,0.0,Yes,No,1.0,,Technical,5.0,,0.3,0.13,2.0,Satisfied,3.0,0.0,A-d4ac0e,
2358,Female,66.0,,Toronto,SME,22.0,Web,Monthly,27.0,5.0,14.91065943845156,7.0,-0.03,6.0,10.0,220.0,Card,0.0,No,Yes,2.0,1.0,Billing,3.0,0.0,0.54,0.32,40.0,Satisfied,2.0,0.0,A-716841,
2359,,46.0,,New York,,31.0,Web,,31.0,3.0,20.34425253707332,2.0,0.1,,70.0,2170.0,,0.0,Yes,NO,1.0,20.335023747455203,Service,3.0,,0.78,0.07,,Satisfied,1.0,0.0,,
2360,Female,30.0,Canada,Berlin,Individual,26.0,Web,Yearly,19.0,0.0,20.92737015668508,8.0,-0.16,,30.0,780.0,Card,1.0,No,,1.0,40.94281099434714,,3.0,1.0,0.71,0.39,-37.0,Neutral,0.0,0.0,A-ed510f,
2361,female,38.0,,Sydney,,13.0,Web,QUARTERLY,10.0,3.0,,1.0,,26.0,30.0,390.0,Card,,No, Yes    ,1.0,22.781345926263626,Service,4.0,1.0,0.13,0.44,-14.0,Satisfied,0.0,0.0,,
2362,Male,,UK,Sydney,SME,3.0,,Yearly,7.0,6.0,1.5721724581821412,5.0,0.02,2.0,20.0,60.0,PayPal,,,No,0.0,18.622937013523085,Technical,4.0,0.0,0.42,0.49,,Unsatisfied,,0.0,A-9bfc9f,
2363,Female,22.0,India,Toronto,Enterprise,43.0,Web,Monthly,26.0,3.0,19.00960025071841,6.0,0.22,26.0,30.0,1290.0,Card,0.0,No,No,3.0,24.88297237438469,Technical,5.0,1.0,0.43,0.42,72.0,Satisfied,1.0,1.0,A-526d93,
2364,Female,27.0,Australia,Dhaka,Enterprise,11.0,Web,Yearly,,7.0,13.124422230393233,9.0,,0.0,50.0,550.0,Bank Transfer,2.0,No,No,3.0,26.226345464123725,Technical,5.0,0.0,0.13,0.42,-7.0,Satisfied,1.0,1.0,A-91e948,
2365,Male,23.0,Canada,Toronto,Enterprise,5.0,,Yearly,25.0,1.0,18.293325653018776,6.0,-0.28,0.0,50.0,250.0,Bank Transfer,1.0,,No,0.0,23.61644224263036,Technical,,0.0,0.16,0.1,79.0,Unsatisfied,0.0,0.0,A-3932db,
2366,Female,73.0,,Dhaka,Individual,38.0,Referral,Quarterly,11.0,7.0,18.47118330642366,8.0,-0.17,6.0,20.0,760.0,Card,1.0,Yes,No,0.0,19.361803269336765,,2.0,0.0,0.5,0.19,27.0,Neutral,1.0,0.0,A-7f8241,
2367,Male,68.0,,London,Individual,4.0,Mobile,Monthly,13.0,5.0,9.42432869110695,7.0,0.08,4.0,50.0,200.0,,0.0,No,No,2.0,32.98812077914569,Technical,2.0,0.0,0.55,0.26,12.0,Satisfied,2.0,1.0,A-c222ab,
2368,Male,74.0,Bangladesh,,SME,,Web,Monthly,14.0,5.0,3.286138839651038,4.0,-0.27,0.0,,1600.0,Card,0.0,Yes,No,2.0,32.64464502998925,Service,2.0,0.0,0.16,,27.0,Satisfied,1.0,0.0,A-8ae05d,
